"stanice","natural","diesel","okres","kraj"
"Benzina, Pražská 2496, Rakovník",35.9,34.9,"Rakovník","Středočeský"
"Martin Oil, Pražská 469, Lety u Dobřichovic",34.9,34.9,"Praha-západ","Středočeský"
"B.R.G., Zbýšov 87",35.6,34.9,"Kutná Hora","Středočeský"
"OMV, Kročehlavská, Kladno-Kročehlavy",36.9,36.9,"Kladno","Středočeský"
"Obživa, České Libchavy 96",35.4,35.2,"Ústí nad Orlicí","Pardubický"
"Benzina, Královéhradecká 507, Ústí nad Orlicí",36.2,35.5,"Ústí nad Orlicí","Pardubický"
"Kont CZ, Opatovská 874/25, Praha 4-Háje",35.9,35.5,"Hlavní město Praha","Hlavní město Praha"
"AUTO Janák, Královéhradecká 507, Ústí nad Orlicí",36.2,35.5,"Ústí nad Orlicí","Pardubický"
"Calibra Plus, U Cihelny 704, Luka nad Jihlavou",35.9,34.9,"Jihlava","Vysočina"
"Medos, Na Velvarské silnici 1, Kralupy nad Vltavou",36.3,35.5,"Mělník","Středočeský"
"LukOil, Bělotínská, Hranice",35.7,34.9,"Přerov","Olomoucký"
"PapOil, Jihlavská, Batelov",35.9,35.5,"Jihlava","Vysočina"
"OMV, Okružní 1/4506, Jihlava",36.9,35.6,"Jihlava","Vysočina"
"Benzina, silnice 608, Nová Ves",36.2,35.7,"Mělník","Středočeský"
"Shell Czech Republic, a.s., silnice E59, Vílanec 4",38.9,37.9,"Jihlava","Vysočina"
"OMV, Otakara Kubína 2115, Boskovice",36.5,35.5,"Blansko","Jihomoravský"
"Shell Czech Republic, a.s., Bělotínská 301, Hranic",36.9,36.9,"Přerov","Olomoucký"
"Eurobit, silnice 11, Lípa nad Orlicí",33.3,32.9,"Rychnov nad Kněžnou","Královéhradecký"
"Silmet, Brněnská 160, Lysice",33.3,32.9,"Blansko","Jihomoravský"
"Benz, Suchdol 234",35.9,34.9,"Kutná Hora","Středočeský"
"Pento, Olomoucká 96, Litovel",35.4,35.2,"Olomouc","Olomoucký"
"Morávia-Bagr, s.r.o., Uničovská 20, Litovel",35.7,35.5,"Olomouc","Olomoucký"
"Benzina Plus, Chrudichromská 2, Boskovice",36.9,35.9,"Blansko","Jihomoravský"
"Forman, Krhov 176",36.9,35.9,"Blansko","Jihomoravský"
"OMV, Rohanské nábřeží 172/2, Praha 8-Karlín",37.9,38.6,"Hlavní město Praha","Hlavní město Praha"
"Rostislava Sklenářová, Oslavanská, Zbýšov",36.8,36.1,"Brno-venkov","Jihomoravský"
"Shell Czech Republic, a.s., Přemyslova 537, Kralup",35.3,39.9,"Mělník","Středočeský"
"Shell Czech Republic, a.s., Mladoboleslavská 3561,",35.3,39.9,"Mělník","Středočeský"
"Pento, Uničovská 371, Litovel",35.4,35.2,"Olomouc","Olomoucký"
"CAROIL CZECH, s.r.o., Kunštát-Sychotín 86",36.8,35.9,"Blansko","Jihomoravský"
"Ino Ipa, Na Štěpáně, Obříství",32.9,32.9,"Mělník","Středočeský"
"PapOil, Pražská, Sázava",35.7,35.2,"Benešov","Středočeský"
"DodyOil, Pražská, Sázava",35.8,35.3,"Benešov","Středočeský"
"Benzina Plus, Nádražní 334, Mělník",34.5,35.5,"Mělník","Středočeský"
"PapOil, Mírová, Milovice",35.9,34.9,"Nymburk","Středočeský"
"Benzina, Ostravská 960, Milovice",35.5,35.3,"Nymburk","Středočeský"
"RoBiN OIL, s.r.o., Strakonická, Praha 5-Malá Chuch",36.9,36.6,"Hlavní město Praha","Hlavní město Praha"
"Radius, Kelské Vinice",34.5,33.7,"Mělník","Středočeský"
"ZD Rataje, Hlavní, Rataje nad Sázavou",35.5,34.5,"Kutná Hora","Středočeský"
"Radius, Nelahozeves-Podhořany",35.9,35.5,"Mělník","Středočeský"
"RoBiN OIL, s.r.o., Palackého, Veltrusy",35.3,34.3,"Mělník","Středočeský"
"Slovnaft, silnice E75, Bystřice",36.7,35.9,"Frýdek-Místek","Moravskoslezský"
"Benzina, silnice 11, Týniště nad Orlicí",33.9,33.5,"Rychnov nad Kněžnou","Královéhradecký"
"Slovnaft, Karvinská 1941, Český Těšín",36.4,36,"Karviná","Moravskoslezský"
"Shell Czech Republic, a.s., silnice E75, Třinec",36.9,36.9,"Frýdek-Místek","Moravskoslezský"
"S2, Býkev",35.9,35.2,"Mělník","Středočeský"
"TCP, Mladoboleslavská 431, Byšice",36.5,35.5,"Mělník","Středočeský"
"Shell Czech Republic, a.s., Jablunkovská 10, Český",36.9,36.7,"Karviná","Moravskoslezský"
"OMV, Lidická, Třinec",36.9,36.9,"Frýdek-Místek","Moravskoslezský"
"A1 Hunsgas, Blatnice pod svatým Antonínkem 857",33.8,32.9,"Hodonín","Jihomoravský"
"Benzina, Jablunkovská 1967, Český Těšín",36.4,36.2,"Karviná","Moravskoslezský"
"PapOil, Kročehlavská 2744, Kladno",35.9,34.9,"Kladno","Středočeský"
"OMV, Černovická, Brno-Černovice",37.7,37.5,"Brno-město","Jihomoravský"
"OMV, Olomoucká 19, Brno-Černovice",37.9,37.5,"Brno-město","Jihomoravský"
"Agip, Olomoucká, Brno-Černovice",37.9,37.7,"Brno-město","Jihomoravský"
"Tank ONO, s.r.o., Kokořínská, Mělník",32.9,32.9,"Mělník","Středočeský"
"Topexol, Mělník-Mlazice",34.4,33.9,"Mělník","Středočeský"
"Agip, Frýdecká, Třinec",36.9,36.9,"Frýdek-Místek","Moravskoslezský"
"Shell Czech Republic, a.s., Olomoucká 38, Brno-Čer",37.9,37.7,"Brno-město","Jihomoravský"
"Agip ČR, s r.o., Hladov 77",36.9,35.9,"Jihlava","Vysočina"
"KALE, Babice 573",35.6,34.5,"Uherské Hradiště","Zlínský"
"Swiss Tank, Hvožďany",35,35,"Příbram","Středočeský"
"VS Petrol, Rožmitálská, Příbram",34.9,35.5,"Příbram","Středočeský"
"Shell Czech Republic, a.s., Brněnská, Šlapanice",37.9,37.7,"Brno-venkov","Jihomoravský"
"Silmet, Tochovice 83",35.7,35.7,"Příbram","Středočeský"
"Silmet, K Podlesí 539, Příbram",35.9,35.9,"Příbram","Středočeský"
"LukOil, Rácová 1500, Bystřice nad Pernštejnem",35.6,34.6,"Žďár nad Sázavou","Vysočina"
"KABE Mšeno, Mělnická, Mšeno",34.9,34.4,"Mělník","Středočeský"
"OMV, Jana Drdy 528, Příbram",35.9,36.2,"Příbram","Středočeský"
"Pasoil, Staroknínská 436, Nový Knín",36.7,36.2,"Příbram","Středočeský"
"Benzina, Brodská, Příbram",35.2,35.9,"Příbram","Středočeský"
"OMV, Evropská, Příbram",36.5,36.4,"Příbram","Středočeský"
"Tesco Stores ČR, a.s., U letiště 1074/2, Plzeň-Skv",33.9,32.9,"Plzeň-město","Plzeňský"
"Albert ČS, Brodská 496, Příbram",34.2,34.9,"Příbram","Středočeský"
"PapOil, silnice 22, Nalžovské Hory",35.5,34.9,"Klatovy","Plzeňský"
"A9, silnice 16, Mělnické Vtelno",35.2,35.6,"Mělník","Středočeský"
"Agip, Březnická 388, Příbram",35.9,35.9,"Příbram","Středočeský"
"MAKRO Cash & Carry ČR, s.r.o., Obchodní 1129/2, Pl",32.9,32.9,"Plzeň-město","Plzeňský"
"Pasoil, Nechranická 383, Březno",35.9,34.9,"Chomutov","-stecký"
"Agip, silnice 7, Křimov 80",36.9,36.9,"Chomutov","-stecký"
"OMV, silnice 7, směr Německo, Hora Sv. Šebestiána",36.9,36.9,"Chomutov","-stecký"
"PapOil, Byškovická 1363, Neratovice",36.5,35.5,"Mělník","Středočeský"
"Qatro, Byškovická, Neratovice-Byškovice",36.7,35.7,"Mělník","Středočeský"
"Uni Málkov, silnice E442, Málkov 73",34.5,33.5,"Chomutov","-stecký"
"RoBiN OIL, s.r.o., silnice 7, Hrušovany",35.4,33.9,"Chomutov","-stecký"
"Shell Czech Republic, a.s., silnice 7, Hora Svatéh",36.9,36.9,"Chomutov","-stecký"
"Agip, Mělnická 617, Libiš",36.7,35.7,"Mělník","Středočeský"
"Benzina, Ludmily, Mělník",34.5,35.5,"Mělník","Středočeský"
"KM-Prona, Vrdy-Dolní Bučice",34.5,34.2,"Kutná Hora","Středočeský"
"Benz, Pod Nádražím 1, Čáslav",34.6,34.3,"Kutná Hora","Středočeský"
"Benzina, Jeníkovská, Čáslav",34.6,34.3,"Kutná Hora","Středočeský"
"B.R.G., Družstevní 471, Žleby",35.6,34.9,"Kutná Hora","Středočeský"
"BD, Horky 129",34.9,34.9,"Kutná Hora","Středočeský"
"Slovnaft, Pelhřimovská 758, Kamenice nad Lipou",35.7,36.1,"Pelhřimov","Vysočina"
"Benzina Plus, Varnsdorf-Studánka 529, Varnsdorf-St",34.9,34.9,"Děčín","-stecký"
"Dobroslava Kubisková, Pelhřimovská 759, Kamenice n",35.9,36,"Pelhřimov","Vysočina"
"Alan Expo, Blanická 172, Jankov",32.9,32.9,"Benešov","Středočeský"
"Agip, Evropská, Praha 6-Dědina",38.3,38.5,"Hlavní město Praha","Hlavní město Praha"
"RoBiN OIL, s.r.o., Pražská 325/8, Rumburk",35.3,34.9,"Děčín","-stecký"
"Armex Oil, Horní Jindřichov, Rumburk",37.2,36.5,"Děčín","-stecký"
"Benzina Plus, Východní 2/636, Rumburk",35.9,36.5,"Děčín","-stecký"
"Shell Czech Republic, a.s., silnice 9, Rumburk",37.4,36.8,"Děčín","-stecký"
"PapOil, Revoluční, Zlonice",35.2,34.5,"Kladno","Středočeský"
"OMV, silnice E50, Starý Hrozenkov",36.9,35.5,"Uherské Hradiště","Zlínský"
"Benzina, Církvičská, Sedlčany",36.7,36.5,"Příbram","Středočeský"
"PapOil, silnice 19, Rožmitál pod Třemšínem",35.9,35.5,"Příbram","Středočeský"
"KC OIL, Obory",35.9,35.9,"Příbram","Středočeský"
"Shell Czech Republic, a.s., Pod Lajsníkem 2, Most",37.2,36.5,"Most","-stecký"
"Benzina, silnice 439, Kelč 271",35.9,35.2,"Vsetín","Zlínský"
"Medos, Nádražní, Rožmitál pod Třemšínem",35.89,35.49,"Příbram","Středočeský"
"Tesco Stores ČR, a.s., Lidická 137, Břeclav",33.9,33.2,"Břeclav","Jihomoravský"
"Unipol, Hrušky 562",35.4,34.4,"Břeclav","Jihomoravský"
"Shell Czech Republic, a.s., K vápence 609, Mikulov",39.6,38.9,"Břeclav","Jihomoravský"
"Benzina, Plzeňská 2012, Rakovník",35.9,34.9,"Rakovník","Středočeský"
"RKR, Lidická 3093, Břeclav",34.5,32.8,"Břeclav","Jihomoravský"
"Petrol Station, Žižkovská 1344, Velké Bílovice",34.9,34.5,"Břeclav","Jihomoravský"
"Otto Garčic, Lednická 496, Hlohovec",36.2,35.2,"Břeclav","Jihomoravský"
"Agip, Milady Horákové, Kladno-Kročehlavy",37.4,36.9,"Kladno","Středočeský"
"Shell Czech Republic, a.s., Cyrila Boudy 2783, Kla",37.4,36.9,"Kladno","Středočeský"
"Shell Czech Republic, a.s., K vápence 609, směr Ně",39.6,38.9,"Břeclav","Jihomoravský"
"Agip, Chlumecká, Praha 9-Černý most",35.9,34.9,"Hlavní město Praha","Hlavní město Praha"
"LYKA, Břeclav-Poštorná, Na Valtické 1206",35.4,34.4,"Břeclav","Jihomoravský"
"OMV, Mikulovská 720, Lednice",36.9,35.7,"Břeclav","Jihomoravský"
"Kufa, Jiráskova, Mikulov",35.8,35.8,"Břeclav","Jihomoravský"
"OMV, Hraniční 1235, Poštorná",36.2,35.9,"Břeclav","Jihomoravský"
"Malinka, Nádražní 823, Rakvice",37.3,36.9,"Břeclav","Jihomoravský"
"Texaco, Chlumecká, Praha 9-Černý Most",34.3,33.9,"Hlavní město Praha","Hlavní město Praha"
"MAKRO Cash & Carry ČR, s.r.o., Chlumecká, Praha 9-",35.6,34.6,"Hlavní město Praha","Hlavní město Praha"
"MAKRO Cash & Carry ČR, s.r.o., Jeremiášova 7, Prah",35.9,35.1,"Hlavní město Praha","Hlavní město Praha"
"Agip, Kolbenova, Praha 9-Hloubětín",35.9,35.2,"Hlavní město Praha","Hlavní město Praha"
"Šafránka Praha, Jeremiášova 1, Praha 5-Stodůlky",37.4,37.6,"Hlavní město Praha","Hlavní město Praha"
"Chemis engine, Moravská nová Ves",34.4,33.4,"Břeclav","Jihomoravský"
"Jana Radkovičová, Rudé armády 3, Dolní Dunajovice",33.9,33.9,"Břeclav","Jihomoravský"
"Benzina Plus, Lidická 3121, Břeclav",36.2,34.9,"Břeclav","Jihomoravský"
"Emal, Slovácká 681, Tvrdonice",35.5,34.9,"Břeclav","Jihomoravský"
"KM-Prona, Bratislavská 70, Podivín",35.9,35.5,"Břeclav","Jihomoravský"
"Bors, Bratislavská 2284/26, Břeclav",37.9,35.7,"Břeclav","Jihomoravský"
"Skanska, Hájčí 12, Praha 13-Stodůlky",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Hájčí 2, Praha 5-S",37.9,38.3,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Břeclavská, Valtice",36.2,35.5,"Břeclav","Jihomoravský"
"Benzina, Brněnská, Mikulov",36.2,36.2,"Břeclav","Jihomoravský"
"Benzina, silnice E461, Bavory",36.5,36.8,"Břeclav","Jihomoravský"
"Benapo, Břeclavská 50, Kostice",35.9,33.9,"Břeclav","Jihomoravský"
"WGW, Šluknov-Rožany 70",35,33.9,"Děčín","-stecký"
"Damara, Medlov 277",34.8,34.4,"Olomouc","Olomoucký"
"MWD, Šluknov-Rožany 61",35.9,34.5,"Děčín","-stecký"
"PapOil, Rožany 153",35.9,34.5,"Děčín","-stecký"
"A+S, Drnholec",35.9,34.9,"Břeclav","Jihomoravský"
"Agip, tř. 1. máje, Břeclav",36.2,35.5,"Břeclav","Jihomoravský"
"Benzina Plus, silnice 69, Liptál 483",36.9,35.9,"Vsetín","Zlínský"
"TM Stav, Jasenická, Vsetín",36.5,36.4,"Vsetín","Zlínský"
"Benzina, Litovelská 255, Uničov",36.9,36.5,"Olomouc","Olomoucký"
"Agip, 28. října, Mikulov",39.5,38.9,"Břeclav","Jihomoravský"
"RoBiN OIL, s.r.o., Žatecká 1402, Most",35.4,34.7,"Most","-stecký"
"MMC Energie, Bobrky, Vsetín",35.6,34.8,"Vsetín","Zlínský"
"Arcos, Újezd-Rybníček 487",37.2,36.4,"Olomouc","Olomoucký"
"Union Road, Bobrky 457, Vsetín",36.9,36.5,"Vsetín","Zlínský"
"Vena Trade, Šumperská 1356, Uničov",33.8,33.4,"Olomouc","Olomoucký"
"Slovnaft, Olomoucká 24, Bruntál",35.2,34.4,"Bruntál","Moravskoslezský"
"OMV, Litovelská 1170, Uničov",36.9,36.5,"Olomouc","Olomoucký"
"M Oil s.r.o., Českobrodská 792/50, Praha 9-Kyje",36.7,36.5,"Hlavní město Praha","Hlavní město Praha"
"OMV, Poděbradská 29/541, Praha 9-Vysočany",37.7,38.3,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Čs. armády, Žamberk",36.2,35.2,"Ústí nad Orlicí","Pardubický"
"Obchodní družstvo Dlouhá Loučka, Rýmařovská 564, D",36.9,36.9,"Olomouc","Olomoucký"
"Benzina, Nádražní 150, Vrbno pod Pradědem",34.9,35.4,"Bruntál","Moravskoslezský"
"Oil Team, Nádražní 607, Vrbno pod Pradědem",34.9,35.4,"Bruntál","Moravskoslezský"
"Oktan, U Vodojemu, Bechyně",34.5,34.5,"Tábor","Jihočeský"
"Silmet, Lidečko",36.1,35.7,"Vsetín","Zlínský"
"Vena Trade, Potočná 371, Stará Ves u Rýmařova",33.8,33.4,"Bruntál","Moravskoslezský"
"Vladimír Novotný, silnice 11, Václavov u Bruntálu",33.9,33.9,"Bruntál","Moravskoslezský"
"Vena Trade, Krnovská, Bruntál",33.8,33.4,"Bruntál","Moravskoslezský"
"RoBiN OIL, s.r.o., Opavská 4, Rýmařov",34.8,33.8,"Bruntál","Moravskoslezský"
"Oil Team, Jindřichov",35.4,34.9,"Bruntál","Moravskoslezský"
"OMV, Staroměstská 6/1874, Bruntál",35.6,34.9,"Bruntál","Moravskoslezský"
"Benzina, Náchodská, Trutnov",35.9,34.5,"Trutnov","Královéhradecký"
"Shell Czech Republic, a.s., Vrchlického, Praha 5-K",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Lucky CS Gold, Krnovská 16, Bruntál",33.8,33.4,"Bruntál","Moravskoslezský"
"Benzina, Opavská 12, Bruntál",35.2,34.4,"Bruntál","Moravskoslezský"
"Agrodružstvo Košetice, Košetice 212",35.5,35.3,"Pelhřimov","Vysočina"
"Medos, Žižkova, Pacov",35.9,35.9,"Pelhřimov","Vysočina"
"OMV,  Náchodská,  Trutnov",35.9,34.5,"Trutnov","Královéhradecký"
"PapOil, č.p. 195, Obrataň",35.5,35.2,"Pelhřimov","Vysočina"
"PapOil, silnice 154, Nové Hrady",35.7,35.3,"České Budějovice","Jihočeský"
"OMV, U Hřebčince, Písek",36.4,35.9,"Písek","Jihočeský"
"PapOil, silnice E49, Písek",35.5,34.9,"Písek","Jihočeský"
"Pasoil, Revoluční, Krupka",35.9,35.9,"Teplice","-stecký"
"Avanti, Strakonická 2017, Praha 5-Smíchov",36.4,37.2,"Hlavní město Praha","Hlavní město Praha"
"Agip, Strakonická - Smíchovské nádraží, Praha 5-Sm",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Strakonická 2, do cent",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"ICOM Transport, Okružní 612, Humpolec",34.5,33.9,"Pelhřimov","Vysočina"
"Benzina, Pražská 54, Krásná Lípa",34.9,34.9,"Děčín","-stecký"
"Benzina, Rumburská 1091, Šluknov",34.9,34.9,"Děčín","-stecký"
"PapOil, Zámecká, Šluknov",35.5,34.9,"Děčín","-stecký"
"TOLOSANER a.s, Jedličkova 494/3, Lysá nad Labem",33.9,33.9,"Nymburk","Středočeský"
"BSV, Voleč 116",35.9,34.9,"Pardubice","Pardubický"
"Benzina Plus, silnice 34, Vystrkov",35.4,34.9,"Pelhřimov","Vysočina"
"Benzina, Pražská, z centra, Nová Paka",36.5,36.2,"Jičín","Královéhradecký"
"Benzina, Pražská, do centra, Nová Paka",36.5,36.2,"Jičín","Královéhradecký"
"Benzina Plus, silnice E442, směr Jičín, Robousy",36.5,36.2,"Jičín","Královéhradecký"
"Benzina, 5.května 1540, Humpolec",34.9,34.2,"Pelhřimov","Vysočina"
"RoBiN OIL, s.r.o., Karlovarská, Unhošť",35.8,35.3,"Kladno","Středočeský"
"Gulf, Gen. Štefánika 46, Přerov-Lověšice",36.9,36.7,"Přerov","Olomoucký"
"Albert ČS, Denisova 2907/11, Přerov",35.6,34.9,"Přerov","Olomoucký"
"Agip, U hřbitova 3, Přerov",35.9,35.5,"Přerov","Olomoucký"
"Agip, Hradecká 1097, Holice",36.9,35.9,"Pardubice","Pardubický"
"Benzina, silnice 7, Panenský Týnec",36.7,35.7,"Louny","-stecký"
"MAKRO Cash & Carry ČR, s.r.o., Místecká 280/755, O",33.1,32.9,"Ostrava-město","Moravskoslezský"
"Z-Petrol, Nasavrky",33.9,33.8,"Chrudim","Pardubický"
"PapOil, Kokonínská 2, Rychnov u Jablonce nad Nisou",35.9,35.5,"Jablonec nad Nisou","Liberecký"
"KM-Prona, Býšť 177",36.9,35.9,"Pardubice","Pardubický"
"OMV, 5. května 1640/65, Praha 4-Nusle",38.7,37.6,"Hlavní město Praha","Hlavní město Praha"
"OMV, 5. května, do centra, Praha 4-Pankrác",37.6,38.7,"Hlavní město Praha","Hlavní město Praha"
"OMV, 5. května, z centra, Praha 4-Kačerov",38.3,38.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Václava Majera 2672, Louny",36.2,36.2,"Louny","-stecký"
"RoBiN OIL, s.r.o., Milady Horákové 1364/2, České",36.9,36.5,"České Budějovice","Jihočeský"
"Globus, České Vrbné 2327, České Budějovice",34.8,34.2,"České Budějovice","Jihočeský"
"RoBiN OIL, s.r.o., Tyršova, Bělá pod Bezdězem",36.8,34.8,"Mladá Boleslav","Středočeský"
"OMV, Vltavské nábřeží 12, České Budějovice",37.9,37.5,"České Budějovice","Jihočeský"
"OMV, Pod stromovkou 204, Litvínovice",37.9,37.5,"České Budějovice","Jihočeský"
"Prim, Na Hroudě, Praha 10-Strašnice",33.9,33.5,"Hlavní město Praha","Hlavní město Praha"
"ETK, Kunratická 1140, Liberec",35.9,35.4,"Liberec","Liberecký"
"Benzina, Hosov 35, Jihlava",34.5,33.5,"Jihlava","Vysočina"
"Benzina, Znojemská 90, Jihlava",34.5,33.5,"Jihlava","Vysočina"
"KM PROMA, Rudolfovská třída 95, České Budějovice",34.9,34.5,"České Budějovice","Jihočeský"
"RoBiN OIL, s.r.o., Libušina 172, Kladno-Dubí",35.8,35.2,"Kladno","Středočeský"
"Agip, Rudolfovská třída, České Budějovice",35.9,35.5,"České Budějovice","Jihočeský"
"ČS, Mšenská, Katusice",36.9,35.6,"Mladá Boleslav","Středočeský"
"Manakov, Čistá",36.9,35.9,"Mladá Boleslav","Středočeský"
"Agip, Na Dlouhé louce 2, České Budějovice",37.9,37.5,"České Budějovice","Jihočeský"
"OMV, Na Dlouhé louce, České Budějovice",37.9,37.5,"České Budějovice","Jihočeský"
"Agip, Hradišťská, Písek",36.4,35.5,"Písek","Jihočeský"
"ČS, Albrechtice nad Vltavou",35.9,35.7,"Písek","Jihočeský"
"Shell Czech Republic, a.s., Hlavní třída, Frýdek-M",36.9,36.4,"Frýdek-Místek","Moravskoslezský"
"Slovnaft, U Boroviny 23, Jihlava",34.9,33.9,"Jihlava","Vysočina"
"MAKRO Cash & Carry ČR, s.r.o., Luční 396, Hrdějovi",34.7,34.1,"České Budějovice","Jihočeský"
"Jihotrans, Pražská 285, Borek",34.9,34.5,"České Budějovice","Jihočeský"
"Agip, Střítež 2",35.9,34.9,"Jihlava","Vysočina"
"Pletka, Budějovická 499, Kamenný Újezd",35.9,34.9,"České Budějovice","Jihočeský"
"Benzina plus",35.9,34.9,"Klatovy","Plzeňský"
"petra",35.9,34.9,"Klatovy","Plzeňský"
"Shell Czech Republic, a.s., Hradištská 2479, Písek",36.2,35.9,"Písek","Jihočeský"
"Tesco Stores ČR, a.s., Chebská 370/81a, Karlovy Va",35.2,34.5,"Karlovy Vary","Karlovarský"
"Benzina, Lidická tř. 2177, České Budějovice",36.5,35.5,"České Budějovice","Jihočeský"
"Benzina Plus, Strakonická, České Budějovice",37.9,37.3,"České Budějovice","Jihočeský"
"Shell Czech Republic, a.s., Pražská třída, České B",37.9,37.3,"České Budějovice","Jihočeský"
"Shell Czech Republic, a.s., Novohradská, České Bud",37.9,37.7,"České Budějovice","Jihočeský"
"Shell Czech Republic, a.s., Postoloprtská 828, Lou",36.7,36.2,"Louny","-stecký"
"Agip, Strakonická, České Budějovice",37.9,37.3,"České Budějovice","Jihočeský"
"Agip, Arbesova 975, Rokycany",36.9,35.9,"Rokycany","Plzeňský"
"PapOil, Lesní zátiší, Vejprnice",35.7,35.2,"Plzeň-město","Plzeňský"
"Josef Fric, Ročov 224",35.6,34.9,"Louny","-stecký"
"Tesco Stores ČR, a.s., Havířská, Ústí nad Labem",35.5,30.9,"Ústí nad Labem","-stecký"
"Prim, Rokytova, Brno",33.9,33.5,"Brno-město","Jihomoravský"
"LOSAC a.s., Popovice u Rajhradu 89",34.9,34.5,"Brno-venkov","Jihomoravský"
"T.V.G., Brněnská, Holasice",36.5,35.7,"Brno-venkov","Jihomoravský"
"TOP Petrol, Masarykova, Rajhrad",36.6,35.9,"Brno-venkov","Jihomoravský"
"Jupí, Libčeves",36.5,35.5,"Louny","-stecký"
"Benzina, Liberecká, Frýdlant",35.3,34.3,"Liberec","Liberecký"
"Macháč, Březno 121",33.9,34.7,"Louny","-stecký"
"Best Fin Plus, Nová Včelnice 523",34.4,33.9,"Jindřichův Hradec","Jihočeský"
"Janout, Jarošov nad Nežárkou 490",34.3,33.9,"Jindřichův Hradec","Jihočeský"
"Shell Czech Republic, a.s., Roztylská, Praha 4-Cho",37.3,37.5,"Hlavní město Praha","Hlavní město Praha"
"Majority Petrol, Dobroměřice 470",36.6,35.2,"Louny","-stecký"
"Benzina, Kaštanová, Brno",37.9,37.5,"Brno-město","Jihomoravský"
"Benzina Plus, Kaštanová, Brno",37.9,37.7,"Brno-město","Jihomoravský"
"OMV, Zvonařka 418/20, Brno-Trnitá",37.9,37.7,"Brno-město","Jihomoravský"
"RoBiN OIL, s.r.o., Na Kopci 950, Kladno",34.2,33.2,"Kladno","Středočeský"
"Hortim, Kšírova 242, Brno-Horní Heršpice",36.9,36.9,"Brno-město","Jihomoravský"
"Agip, Horňátecká, Praha 8-Kobylisy",36.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"RoBiN OIL, s.r.o., Žernosecká 1849, Praha 8-Kobyli",36.5,35.9,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Příhonská, Dolní Bousov",36.3,35.9,"Mladá Boleslav","Středočeský"
"TTB sro., Tisá,",36,36,"Ústí nad Labem","-stecký"
"Pema, Petrovice,",36.19,36.19,"Ústí nad Labem","-stecký"
"G7, Teplická 274, Libouchec",33.9,33.9,"Ústí nad Labem","-stecký"
"Shell Czech Republic, a.s., Přemyslova 41, Plzeň",36.4,35.9,"Plzeň-město","Plzeňský"
"Benzina Plus, silnice E442, Gajer",35.2,34.2,"Svitavy","Pardubický"
"ERNEKS/oil TEAM, Janov 345, Janov",35.9,34.9,"Svitavy","Pardubický"
"Zena, Hradišťská, Kněžmost",36.2,34.9,"Mladá Boleslav","Středočeský"
"LukOil, Stříbrnická, Ústí nad Labem",34.2,33.2,"Ústí nad Labem","-stecký"
"OMV, Neštěmická, Ústí nad Labem",35.4,34.9,"Ústí nad Labem","-stecký"
"OMV, Husova 2647, Louny",36.2,36.2,"Louny","-stecký"
"Seco Trans, Boleslavská 98, Kosmonosy",34.5,33.5,"Mladá Boleslav","Středočeský"
"OMV, Plzeňská 835, Klatovy",35.2,34.4,"Klatovy","Plzeňský"
"Strážovská čerpací stanice, silnice 171, Strážov 2",35.6,34.7,"Klatovy","Plzeňský"
"B plus H, Na Radouči 1311, Mladá Boleslav",35.9,35.3,"Mladá Boleslav","Středočeský"
"KM-Prona, Nádražní 311, Mladá Boleslav-Čejetičky",36.5,35.5,"Mladá Boleslav","Středočeský"
"PapOil, Průmyslová 888, Kosmonosy",36.3,35.5,"Mladá Boleslav","Středočeský"
"Benzina Plus, Boleslavská, Kosmonosy",36.2,36.2,"Mladá Boleslav","Středočeský"
"Benzina, Plzeňská 918, Klatovy",35.2,34.4,"Klatovy","Plzeňský"
"Tank Oil, Havlíčkova 1473, Mladá Boleslav",35.8,35.1,"Mladá Boleslav","Středočeský"
"OMV, Havlíčkova, Mladá Boleslav",36.2,36.2,"Mladá Boleslav","Středočeský"
"GEM, Dukovany 268",35.9,34.9,"Třebíč","Vysočina"
"Albert ČS, Jičínská 1350/3, Mladá Boleslav",35.7,35.3,"Mladá Boleslav","Středočeský"
"Kontakt, silnice 16, Plazy",35.9,35.5,"Mladá Boleslav","Středočeský"
"OMV, Jičínská 1355, Mladá Boleslav",36.4,35.9,"Mladá Boleslav","Středočeský"
"OMV, Jičínská 1354, Mladá Boleslav",36.4,35.9,"Mladá Boleslav","Středočeský"
"Shell Czech Republic, a.s., Jičínská, Mladá Bolesl",36.4,35.9,"Mladá Boleslav","Středočeský"
"RoBiN OIL, s.r.o., silnice 7, Chlumčany 172",36.9,36.3,"Louny","-stecký"
"Albert ČS, U dálnice 744, Modřice",36,34.7,"Brno-venkov","Jihomoravský"
"OMV, Sokolovská 1986, Tachov",37.2,36.2,"Tachov","Plzeňský"
"PapOil, Postoloprtská 2941, Louny",35.5,34.7,"Louny","-stecký"
